Result,surface,best_of,w_heightdiff,w_agediff,w_acediff,w_dfdiff,%w_1stIndiff,%w_1stwondiff,%w_2ndwondiff,w_rankdiff,w_rankpointsdiff
0,1,5,-8,3.83572896,12,-1,-0.057627119,0.070833333,0.080709877,132,-384
0,1,5,16,-8.65708419,24,3,-0.113268425,0.155304102,0.02745098,-28,1270
0,1,5,18,1.88364134,-6,2,-0.057271557,0.065527065,0.098550724,-82,932
1,1,5,-11,-7.17043121,1,1,0.019345011,0.033433995,-0.005555556,-29,698
1,1,5,2,6.33264887,-11,0,0.136926755,-0.066666666,-0.224222586,184,-6593
1,1,5,5,1.10061601,-2,4,-0.191224062,-0.002979415,-0.188488298,300,-3985
0,1,5,0,-1.98494183,7,-2,0.028594771,0.194922195,0.257142858,-5,135
1,1,5,-3,-8.65434634,-29,-10,0.17561082,-0.074552374,0.106060606,56,-997
1,1,5,-16,-0.96098562,-16,-1,-0.05630563,-0.034829059,-0.135902637,69,-1834
1,1,5,-10,7.03627652,-16,0,0.068027211,-0.181120145,0.000625391,47,-955
1,1,5,10,6.09993155,9,0,-0.103843925,0.08308668,-0.094584287,-57,494
0,1,5,-3,-1.33880903,-3,1,0.112868217,0.150735294,0.035974499,-37,468
1,1,5,2,3.24709103,-4,-2,-0.145529935,0.043243243,-0.230445753,28,-15500
1,1,5,7,-5.77138946,1,0,-0.127349444,-0.07294686,-0.447058824,38,-1330
0,1,5,0,5.91649555,12,-2,-0.030478955,0.105846774,0.045454545,-157,2412
1,1,5,10,6.57084189,6,3,-0.018495935,0.057375422,-0.188235294,20,-2805
1,1,5,3,-9.76865161,-5,-2,-0.012896826,-0.122044241,-0.018139535,25,-6745
1,1,5,22,-2.74058864,11,-2,0.006927264,-0.098765432,0.033333333,4,-190
0,1,5,-15,0.45722108,-6,-2,0.048970251,0.001658375,0.110119048,8,-765
0,1,5,3,9.60711841,-10,4,-0.030423281,-0.034134615,0.169573644,-24,3300
0,1,5,10,-5.88637919,3,1,-0.013669448,0.090693257,0.030588235,-13,60
0,1,5,8,-6.29158111,7,-4,0.169642857,0.04516129,0.10026738,-200,1252
1,1,5,-3,4.87611226,-9,3,-0.023474178,-0.207105064,-0.257575758,12,-795
0,1,5,-13,0.3230664,16,-3,0.038978494,0.103988604,0.135198135,-47,6038
1,1,5,13,-7.72895278,2,2,-0.057026144,-0.266076242,-0.169836957,24,-2905
1,1,5,-18,3.59753594,-26,7,-0.151815926,-0.083801498,-0.175925926,8,-805
1,1,5,-10,3.35386722,-12,-2,0.014430167,-0.100318082,-0.131907309,78,-1109
0,1,5,5,1.87542779,9,4,-0.080939724,0.183735594,0.121212122,-31,7754
1,1,5,-5,2.39835729,-7,3,0.034781073,-0.00952381,-0.188602442,14,-14645
0,1,5,-10,-4.7008898,-10,-5,0.002409639,0.11037037,0.164141414,-3,1510
1,1,5,-22,-9.33059548,-2,1,0.03578493,-0.202597402,-0.354285714,13,-6330
1,1,5,-13,-2.57357974,-12,-2,0.044814022,-0.081474412,0.12,15,-2920
0,1,5,8,4.47638604,14,-2,0.029605264,0.068004459,0.155179704,-49,792
0,1,5,13,-5.74948666,15,-3,0.098904981,0.085008501,-0.034722222,10,-4595
1,1,5,31,-3.06639289,17,2,0.230127042,-0.103912363,-0.363095238,3,-1650
0,1,5,-3,5.43737167,8,-1,-0.075630253,0.108766234,0.238095238,-15,7225
