Result,surface,winner_ht,winner_age,loser_ht,loser_age,best_of,w_ace,w_df,%w_FSrv,%w_FSrvWon,%w_2ndWon,%l_FSrv,%l_FSrvWon,%l_2ndWon,l_ace,l_df,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,2,181,29.54962355,178,31.70157426,3,7,3,0.645833333,0.741935484,0.352941176,0.571428571,0.46875,0.375,0,4,65,760,15,2225
0,2,180,33.09240246,185,35.04175222,3,9,0,0.655737705,0.8,0.666666667,0.719298246,0.682926829,0.375,1,2,92,616,43,1007
1,2,170,26.46954141,183,28.6844627,3,3,5,0.765957447,0.708333333,0.272727273,0.673267327,0.632352941,0.242424242,4,5,20,1835,168,324
1,2,185,28.72005476,188,31.04996578,3,5,0,0.5625,0.722222222,0.714285714,0.625,0.618181818,0.484848485,1,2,59,790,71,710
1,2,185,35.04175222,183,36.00273785,3,2,6,0.457142857,0.625,0.49122807,0.623853211,0.544117647,0.512195122,2,2,43,1007,135,411
1,2,185,28.72005476,183,37.13894593,3,1,0,0.605263158,0.739130435,0.733333333,0.528301887,0.535714286,0.4,1,2,59,790,114,493
0,2,190,28.3340178,188,31.72621492,3,3,6,0.603773585,0.640625,0.595238095,0.559139785,0.692307692,0.512195122,6,5,77,696,49,920
0,1,188,33.80150582,188,27.88501027,3,6,1,0.688888889,0.870967742,0.642857143,0.6,0.633333333,0.65,6,3,210,245,44,983
1,1,188,27.88501027,196,33.38261465,3,5,3,0.516129032,0.84375,0.6,0.483870968,0.7,0.53125,2,5,44,983,79,685
0,1,188,33.80150582,188,31.97809719,3,18,3,0.59223301,0.885245902,0.642857143,0.590551181,0.773333333,0.576923077,8,9,210,245,35,1155
0,1,196,33.38261465,185,26.93771389,3,13,3,0.511811024,0.738461538,0.580645161,0.654205607,0.785714286,0.459459459,12,6,79,685,72,710
0,1,183,33.63449692,185,24.94729637,3,12,7,0.52173913,0.766666667,0.454545455,0.6640625,0.635294118,0.441860465,9,7,128,438,17,1955
0,1,188,33.80150582,183,34.10540726,3,11,2,0.65,0.794871795,0.619047619,0.536231884,0.675675676,0.40625,2,1,210,245,31,1280
0,1,196,33.38261465,196,29.74401095,3,2,0,0.586956522,0.814814815,0.473684211,0.565217391,0.576923077,0.2,3,7,79,685,58,820
0,1,185,26.93771389,163,28.1615332,3,3,0,0.71875,0.739130435,0.666666667,0.518518519,0.714285714,0.461538462,11,4,72,710,21,1830
1,1,188,27.88501027,180,26.46680356,3,7,1,0.564102564,0.818181818,0.823529412,0.551020408,0.592592593,0.363636364,2,2,44,983,63,770
0,1,190,32.81587953,208,39.93429158,3,11,3,0.6875,0.831168831,0.771428571,0.622641509,0.893939394,0.625,27,5,111,520,78,694
1,1,196,29.74401095,185,28.74195756,3,8,6,0.492063492,0.903225806,0.625,0.602941176,0.634146341,0.592592593,3,0,58,820,96,599
1,1,196,33.38261465,188,31.84394251,3,11,8,0.491071429,0.745454545,0.456140351,0.577319588,0.714285714,0.317073171,3,3,79,685,142,395
1,1,185,26.93771389,190,37.03764545,3,7,3,0.651162791,0.785714286,0.533333333,0.648648649,0.770833333,0.538461538,10,2,72,710,195,264
1,1,188,35.22245038,193,28.30116359,3,8,4,0.62195122,0.745098039,0.612903226,0.561643836,0.707317073,0.46875,10,3,26,1455,56,858
1,1,183,30.80903491,188,31.19233402,3,2,5,0.662337662,0.68627451,0.653846154,0.583333333,0.75,0.325,11,4,18,1955,45,981
1,1,190,29.5687885,196,31.55373032,3,6,3,0.661971831,0.744680851,0.541666667,0.653846154,0.647058824,0.481481481,5,2,38,1066,180,285
1,1,193,32.42710472,183,31.11019849,3,15,5,0.578125,0.864864865,0.407407407,0.614035088,0.571428571,0.590909091,1,2,33,1195,55,890
1,1,193,28.30116359,183,33.85626283,3,11,1,0.597826087,0.727272727,0.702702703,0.622222222,0.857142857,0.676470588,13,1,56,858,57,830
0,1,196,31.55373032,185,26.9486653,3,11,4,0.684210526,0.692307692,0.625,0.545454545,0.770833333,0.425,7,10,180,285,22,1820
1,1,193,32.42710472,193,32.98288843,3,9,8,0.508196721,0.838709677,0.6,0.604166667,0.724137931,0.526315789,8,2,33,1195,185,277
0,2,170,26.48870637,185,25.44010951,3,1,8,0.769230769,0.5875,0.333333333,0.76,0.644736842,0.375,2,4,19,1835,8,3960
1,2,185,25.44010951,180,33.11156742,3,4,3,0.741573034,0.727272727,0.52173913,0.602739726,0.704545455,0.655172414,4,3,8,3960,78,706
1,2,170,26.48870637,188,31.06913073,3,2,1,0.66,0.787878788,0.764705882,0.553191489,0.538461538,0.523809524,1,3,19,1835,96,580
0,2,180,33.11156742,185,29.86995209,3,1,5,0.582278481,0.739130435,0.424242424,0.529411765,0.666666667,0.46875,1,1,78,706,41,1042
1,2,170,26.48870637,181,29.5687885,3,0,2,0.764705882,0.653846154,0.4375,0.52688172,0.632653061,0.386363636,5,2,19,1835,57,805
1,2,188,31.06913073,175,36.862423,3,2,2,0.601769912,0.573529412,0.555555556,0.602564103,0.638297872,0.548387097,0,4,96,580,149,380
1,2,185,28.73921971,188,31.74537988,3,5,3,0.741935484,0.666666667,0.5,0.705263158,0.791044776,0.428571429,10,3,50,930,51,920
1,2,188,31.06913073,178,35.02258727,3,2,1,0.682539683,0.76744186,0.45,0.558823529,0.631578947,0.466666667,1,2,96,580,138,407
0,2,175,36.862423,185,35.06091718,3,1,5,0.684210526,0.692307692,0.5,0.674418605,0.603448276,0.357142857,3,2,149,380,44,1007
0,2,188,31.74537988,180,28.61875428,3,2,5,0.515151515,0.764705882,0.53125,0.702380952,0.610169492,0.32,1,4,51,920,43,1010
1,1,206,33.79603012,193,26.30800821,3,27,0,0.683333333,0.853658537,0.842105263,0.635135135,0.723404255,0.666666667,13,1,9,3155,87,649
0,1,188,35.69062286,183,29.66187543,3,8,0,0.585106383,0.709090909,0.666666667,0.670454545,0.762711864,0.586206897,4,0,102,547,37,1088
0,1,183,37.15811088,183,26.7652293,3,4,1,0.666666667,0.766666667,0.566666667,0.621052632,0.762711864,0.5,17,5,111,493,92,615
1,1,193,26.30800821,185,31.27446954,3,9,0,0.711538462,0.756756757,0.666666667,0.692307692,0.611111111,0.5625,6,2,87,649,130,423
1,1,183,26.7652293,180,30.65845311,3,14,1,0.538461538,0.892857143,0.541666667,0.6,0.75,0.291666667,6,3,92,615,118,468
1,1,193,32.44626968,183,33.87542779,3,1,3,0.670731707,0.618181818,0.555555556,0.577464789,0.634146341,0.533333333,2,0,33,1240,68,740
0,1,183,33.87542779,178,29.11978097,3,8,1,0.592592593,0.770833333,0.454545455,0.65,0.538461538,0.628571429,0,2,68,740,7,4100
1,1,193,32.44626968,172,26.72963723,3,4,3,0.6,0.666666667,0.583333333,0.645833333,0.419354839,0.470588235,0,1,33,1240,56,905
1,1,178,29.11978097,190,30.45037645,3,1,2,0.574468085,0.703703704,0.75,0.5,0.583333333,0.416666667,4,2,7,4100,84,667
0,1,183,33.87542779,196,28.12594114,3,8,1,0.523809524,0.909090909,0.666666667,0.631578947,0.833333333,0.357142857,15,3,68,740,14,2250
1,1,193,32.44626968,190,34.97330595,3,11,3,0.6,0.777777778,0.566666667,0.544303797,0.581395349,0.527777778,0,0,33,1240,40,1060
0,1,172,26.72963723,183,31.12936345,3,3,1,0.693548387,0.790697674,0.736842105,0.654761905,0.618181818,0.551724138,4,0,56,905,53,910
1,1,178,29.11978097,188,27.90417522,3,0,1,0.656716418,0.840909091,0.608695652,0.554545455,0.655737705,0.489795918,6,3,7,4100,36,1113
0,1,190,30.45037645,193,28.32032854,3,12,0,0.627906977,0.851851852,0.8125,0.626865672,0.571428571,0.56,5,2,84,667,72,728
1,1,196,28.12594114,178,35.32375086,3,21,1,0.628571429,0.863636364,0.769230769,0.609756098,0.76,0.59375,2,2,14,2250,32,1250
0,1,183,33.87542779,196,29.76317591,3,4,1,0.629032258,0.717948718,0.52173913,0.6,0.555555556,0.5,5,3,68,740,58,795
0,1,196,33.4017796,183,34.12457221,3,4,1,0.505154639,0.714285714,0.416666667,0.569620253,0.511111111,0.647058824,2,2,59,775,31,1280
0,1,193,32.44626968,163,28.18069815,3,12,3,0.626666667,0.70212766,0.535714286,0.521126761,0.72972973,0.529411765,2,0,33,1240,21,1740
1,1,190,34.97330595,185,29.57700205,3,11,4,0.612903226,0.701754386,0.5,0.461538462,0.666666667,0.489795918,7,6,40,1060,61,770
1,1,183,31.12936345,190,31.85215606,3,2,0,0.612903226,0.789473684,0.666666667,0.629032258,0.846153846,0.304347826,6,1,53,910,55,905
1,1,188,35.24161533,188,31.21149897,3,3,0,0.573770492,0.771428571,0.615384615,0.608695652,0.761904762,0.333333333,7,3,26,1455,45,1001
0,1,175,28.74195756,206,33.81519507,3,4,0,0.68852459,0.880952381,0.684210526,0.652173913,0.8,0.458333333,16,0,148,384,9,3225
0,1,175,28.74195756,190,34.99247091,3,3,3,0.676923077,0.727272727,0.571428571,0.606557377,0.594594595,0.583333333,6,1,148,384,52,915
1,1,206,33.81519507,183,30.63928816,3,24,1,0.771428571,0.777777778,0.6875,0.680555556,0.734693878,0.52173913,6,4,9,3225,51,920
1,1,188,29.15263518,183,37.17727584,3,7,2,0.52173913,0.861111111,0.666666667,0.55,0.636363636,0.638888889,5,5,34,1190,105,531
1,1,183,30.63928816,188,32.44900753,3,5,0,0.634615385,0.787878788,0.736842105,0.731343284,0.632653061,0.444444444,5,0,51,920,102,542
1,1,206,33.81519507,185,31.2936345,3,18,0,0.744186047,0.96875,0.545454545,0.591549296,0.666666667,0.517241379,4,4,9,3225,133,423
1,1,183,37.17727584,175,31.137577,3,2,2,0.558823529,0.789473684,0.666666667,0.536231884,0.72972973,0.46875,7,4,105,531,189,267
0,1,193,23.81382615,183,29.68104038,3,19,11,0.585585586,0.846153846,0.5,0.721649485,0.771428571,0.703703704,8,0,64,750,37,1088
1,1,190,34.99247091,193,26.32717317,3,5,3,0.506666667,0.815789474,0.540540541,0.684931507,0.7,0.434782609,12,1,52,915,85,669
0,1,188,32.44900753,188,37.41273101,3,5,1,0.597014925,0.8,0.518518519,0.5,0.714285714,0.457142857,11,2,102,542,67,745
1,1,206,33.81519507,180,30.67761807,3,23,5,0.618421053,0.872340426,0.482758621,0.416666667,0.76,0.657142857,4,5,9,3225,122,468
1,1,163,28.19986311,183,34.14373717,3,3,1,0.64,0.78125,0.611111111,0.606060606,0.575,0.461538462,4,2,24,1560,32,1280
0,1,193,33.11704312,183,25.00479124,3,9,1,0.53125,0.794117647,0.566666667,0.620689655,0.722222222,0.454545455,5,3,141,410,130,429
1,1,163,28.19986311,196,29.78234086,3,2,2,0.653846154,0.617647059,0.777777778,0.547169811,0.689655172,0.291666667,3,5,24,1560,59,795
1,1,183,34.14373717,185,29.59616701,3,15,0,0.675,0.796296296,0.538461538,0.609756098,0.64,0.5625,5,2,32,1280,60,770
0,1,188,31.88227242,188,35.26078029,3,6,1,0.616666667,0.810810811,0.52173913,0.655172414,0.710526316,0.3,6,3,143,407,26,1455
1,1,196,29.78234086,183,33.36344969,3,12,4,0.476923077,0.870967742,0.529411765,0.73015873,0.608695652,0.588235294,1,1,59,795,136,415
0,1,185,29.59616701,172,26.74880219,3,2,4,0.585714286,0.707317073,0.517241379,0.693333333,0.557692308,0.434782609,2,2,60,770,49,950
