Result,Hard,Clay,Best_of_3,surface,w_heightdiff,w_agediff,w_acediff,w_dfdiff,%w_1stIndiff,%w_1stwondiff,%w_2ndwondiff,w_rankdiff,w_rankpointsdiff
1,1,0,1,1,0.012241642,-0.372151051,0.269305315,-0.695939555,0.112616636,-1.223890211,0.347764886,-0.148596316,0.102811166
1,1,0,1,1,-0.71409579,-1.986478732,-0.423543589,-0.023447856,1.316268358,-1.010674432,-0.493674989,-0.177009205,0.192394969
1,1,0,1,1,-0.441719253,-0.945216192,0.407875096,-0.695939555,-1.461393828,-0.603013558,0.294087401,0.9689773,-0.284913197
1,1,0,1,1,-0.71409579,1.048859833,0.130735534,-0.359693706,-0.232254123,-0.940288146,0.13883478,0.116590644,-0.087333111
0,1,0,1,1,0.012241642,0.413297754,-0.146404027,-0.359693706,-0.874369804,0.776991689,-0.563831276,0.391248566,-0.197099825
0,1,0,1,1,1.19253997,-0.72118056,0.962154219,0.985289694,0.779335017,1.408819331,1.157539333,-0.205422093,0.173628402
0,1,0,1,1,-0.169342716,1.048859835,0.269305315,-1.368431255,0.464854909,0.799872695,0.570469329,-0.025473799,0.01818457
0,1,0,1,1,0.466202537,0.738493684,1.655003123,-0.023447856,-0.428660378,0.925264359,0.80602211,0.059764867,-0.051924493
1,1,0,1,1,-0.71409579,0.497509728,-0.284973808,0.985289694,-0.550863522,-0.780901933,-0.359964145,0.06923583,-0.062547078
0,1,0,1,1,0.284618179,-0.774144067,0.269305315,-0.359693706,-0.015896052,-0.202717471,1.343680674,-0.470609053,0.276313393
0,1,0,1,1,-0.441719253,1.444497228,0.130735534,0.312797994,-0.984712148,2.093017658,0.711800997,0.306009901,-0.30226342
